#X 	Y 	poch 	SPLINE
100.62	-3.14127	-185.897	-3.15603
100.63	-3.15603	-179.2	-3.18877
100.64	-3.18877	-175.387	-3.23905
100.65	-3.23905	-171.185	-3.30653
100.66	-3.30653	-171.445	-3.39103
100.67	-3.39103	-168.057	-3.49249
100.68	-3.49249	-170.004	-3.61099
100.69	-3.61099	-173.889	-3.74669
100.7	-3.74669	-172.607	-3.89989
100.71	-3.89989	-179.412	-4.07097
100.72	-4.07097	-182.098	-4.26039
100.73	-4.26039	-192.105	-4.46868
100.74	-4.46868	-191.193	-4.69641
100.75	-4.69641	-199.937	-4.94417
100.76	-4.94417	-210.317	-5.21253
100.77	-5.21253	-207.049	-5.50203
100.78	-5.50203	-217.512	-5.81311
100.79	-5.81311	-217.165	-6.14607
100.8	-6.14607	-226.078	-6.501
100.81	-6.501	-212.903	-6.8777
100.82	-6.8777	-212.198	-7.2756
100.83	-7.2756	-209.771	-7.6937
100.84	-7.6937	-179.786	-8.13038
100.85	-8.13038	-166.701	-8.58336
100.86	-8.58336	-131.007	-9.04956
100.87	-9.04956	-102.124	-9.52499
100.88	-9.52499	-36.0465	-10.0047
100.89	-10.0047	14.2791	-10.4824
100.9	-10.4824	90.5197	-10.9513
100.91	-10.9513	162.772	-11.4029
100.92	-11.4029	269.129	-11.8282
100.93	-11.8282	359.216	-12.2175
100.94	-12.2175	457.33	-12.5605
100.95	-12.5605	568.895	-12.8473
100.96	-12.8473	657.547	-13.0683
100.97	-13.0683	743.668	-13.2153
100.98	-13.2153	809.51	-13.2816
100.99	-13.2816	857.015	-13.2627
101	-13.2627	873.048	-13.1568
101.01	-13.1568	869.127	-12.9649
101.02	-12.9649	825.587	-12.6905
101.03	-12.6905	766.54	-12.3399
101.04	-12.3399	677.129	-11.9216
101.05	-11.9216	585.177	-11.4457
101.06	-11.4457	455.538	-10.9237
101.07	-10.9237	343.459	-10.3672
101.08	-10.3672	234.886	-9.78811
101.09	-9.78811	103.039	-9.19755
101.1	-9.19755	12.846	-8.60583
101.11	-8.60583	-84.8728	-8.02205
101.12	-8.02205	-149.511	-7.45396
101.13	-7.45396	-232.496	-6.90792
101.14	-6.90792	-269.41	-6.38892
101.15	-6.38892	-311.571	-5.90064
101.16	-5.90064	-326.732	-5.44562
101.17	-5.44562	-356.178	-5.02536
101.18	-5.02536	-354.89	-4.64053
101.19	-4.64053	-349.151	-4.29106
101.2	-4.29106	-353.994	-3.97634
101.21	-3.97634	-335.801	-3.69534
101.22	-3.69534	-325.123	-3.4467
101.23	-3.4467	-304.496	-3.22887
101.24	-3.22887	-295.401	-3.0402
101.25	-3.0402	-273.426	-2.87895
101.26	-2.87895	-255.395	-2.74343
101.27	-2.74343	-242.483	-2.63197
101.28	-2.63197	-224.44	-2.54303
101.29	-2.54303	-210.382	-2.47514
101.3	-2.47514	-196.49	-2.427
101.31	-2.427	-186.381	-2.39744
101.32	-2.39744	-174.944	-2.38544
101.33	-2.38544	-167.009	-2.39015
101.34	-2.39015	-159.773	-2.41087
101.35	-2.41087	-154.247	-2.44705
101.36	-2.44705	-150.443	-2.49832
101.37	-2.49832	-148.993	-2.56442
101.38	-2.56442	-146.363	-2.64528
101.39	-2.64528	-148.089	-2.74094
101.4	-2.74094	-148.921	-2.85159
101.41	-2.85159	-155.221	-2.97756
101.42	-2.97756	-155.142	-3.11927
101.43	-3.11927	-162.791	-3.2773
101.44	-3.2773	-172.462	-3.45231
101.45	-3.45231	-174.159	-3.64506
101.46	-3.64506	-187.22	-3.85643
101.47	-3.85643	-193.684	-4.08733
101.48	-4.08733	-209.331	-4.33875
101.49	-4.33875	-211.668	-4.61171
101.5	-4.61171	-224.827	-4.90721
101.51	-4.90721	-240.822	-5.22625
101.52	-5.22625	-238.868	-5.5697
101.53	-5.5697	-253.579	-5.9383
101.54	-5.9383	-255.218	-6.33259
101.55	-6.33259	-266.266	-6.75275
101.56	-6.75275	-251.08	-7.19857
101.57	-7.19857	-249.708	-7.66929
101.58	-7.66929	-243.476	-8.16344
101.59	-8.16344	-204.703	-8.67871
101.6	-8.67871	-182.279	-9.21175
101.61	-9.21175	-131.915	-9.75805
101.62	-9.75805	-85.3142	-10.3117
101.63	-10.3117	6.26008	-10.8654
101.64	-10.8654	82.5919	-11.4103
101.65	-11.4103	191.749	-11.9361
101.66	-11.9361	297.706	-12.4311
101.67	-12.4311	441.615	-12.8826
101.68	-12.8826	565.818	-13.2775
101.69	-13.2775	694.5	-13.6025
101.7	-13.6025	829.798	-13.8454
101.71	-13.8454	930.477	-13.9954
101.72	-13.9954	1015.69	-14.0444
101.73	-14.0444	1068.38	-13.9873
101.74	-13.9873	1081.5	-13.8225
101.75	-13.8225	1055.75	-13.5527
101.76	-13.5527	1000.6	-13.184
101.77	-13.184	891.752	-12.7259
101.78	-12.7259	775.184	-12.1908
101.79	-12.1908	626.719	-11.5929
101.8	-11.5929	487.959	-10.9473
101.81	-10.9473	312.704	-10.2692
101.82	-10.2692	174.549	-9.57352
101.83	-9.57352	50.0276	-8.87363
101.84	-8.87363	-91.9212	-8.18146
101.85	-8.18146	-177.546	-7.5071
101.86	-7.5071	-265.972	-6.85869
101.87	-6.85869	-314.898	-6.24252
101.88	-6.24252	-380.594	-5.66311
101.89	-5.66311	-396.405	-5.12345
101.9	-5.12345	-417.774	-4.62514
101.91	-4.62514	-412.463	-4.16869
101.92	-4.16869	-422.936	-3.75369
101.93	-3.75369	-403.577	-3.37903
101.94	-3.37903	-382.135	-3.04305
101.95	-3.04305	-373.182	-2.74377
101.96	-2.74377	-342.424	-2.47892
101.97	-2.47892	-322.053	-2.24614
101.98	-2.24614	-292.735	-2.043
101.99	-2.043	-276	-1.86713
102	-1.86713	-248.713	-1.71621
102.01	-1.71621	-225.501	-1.58805
102.02	-1.58805	-208.938	-1.4806
102.03	-1.4806	-187.175	-1.39197
102.04	-1.39197	-171.085	-1.32045
102.05	-1.32045	-154.641	-1.26451
102.06	-1.26451	-142.546	-1.22277
102.07	-1.22277	-129.7	-1.19405
102.08	-1.19405	-119.522	-1.17733
102.09	-1.17733	-111.412	-1.17175
102.1	-1.17175	-103.962	-1.1766
102.11	-1.1766	-98.2766	-1.19132
102.12	-1.19132	-94.8742	-1.2155
102.13	-1.2155	-90.9109	-1.24884
102.14	-1.24884	-89.9471	-1.29118
102.15	-1.29118	-89.0741	-1.34248
102.16	-1.34248	-91.1204	-1.40281
